债券简称,成交净价,最新收益率,涨跌,加权收益率,交易量
22附息国债08,118.3,2.375,-0.5,2.3672,9.9
22建行二级资本债02B,106.57,2.6758,1.0,2.6706,9.8
25兴业银行永续债01BC,100.02,2.08,-3.0,2.08,9.7
17附息国债04,102.32,0.85,1.0,0.85,9.7
26江苏债14,99.42,2.5075,-0.25,2.506,9.6
25农行永续债01BC,99.7,,,,9.6
22进出15,101.59,1.539,-0.35,1.5398,9.6
18国开10,105.5,1.605,-0.5,1.6096,9.5
25农发20,98.52,1.9575,1.0,1.9534,9.5
25建行二级资本债02A(BC),99.62,1.984,0.24,1.9815,9.4
26湖南债07,99.86,1.995,1.0,1.9938,9.3
25工行二级资本债02BC,99.9,1.9919,-0.24,1.9907,9.3
21国开10,108.34,1.73,1.0,1.7313,9.3
26黄石城发PPN005,100.0,1.8499,,1.8499,9.3
25广发银行CD283,99.2,1.5148,1.0,1.513,9.0
26工商银行CD020,98.46,1.555,-0.5,1.5569,9.0
25北京银行CD215,99.61,1.4408,1.0,1.4408,9.0
25交通银行CD287,99.23,1.51,1.0,1.5106,9.0
24特别国债02,102.81,2.3,0.75,2.2979,9.0
26华夏银行CD050,98.47,1.5575,-0.75,1.5581,9.0
25交通银行CD205,98.42,1.5201,1.0,1.5228,9.0
25工商银行CD260,98.42,1.5249,0.48,1.5249,9.0
26山东07,100.79,2.3165,0.4,2.3134,8.9
25农发13,99.96,1.6075,-0.21,1.6094,8.7
25建行永续债01BC,99.72,,,,8.7
25江苏债39,100.71,1.6725,0.5,1.6714,8.6
26广东债20,99.61,2.485,-0.5,2.4838,8.6
24河北23,104.24,1.89,,1.89,8.6
25农发03,99.53,1.585,-0.25,1.585,8.3
26江苏债09,99.06,2.505,-0.5,2.5051,8.3
21长城资本债01BC,101.7,,,,8.25
25浦发银行二级资本债01A,100.19,2.147,-0.01,2.1477,8.2
26贴现国债12,99.7,1.2227,-3.24,1.2536,8.2
25江苏银行债02BC,100.12,1.705,1.0,1.7033,8.2
23附息国债14,104.8,1.455,1.0,1.4538,8.1
25农发清发02,99.96,1.4851,1.0,1.4868,8.1
26建设银行CD043,98.47,1.554,-0.35,1.555,8.09
25农行二级资本债03A(BC),100.47,2.1249,-0.25,2.1266,8.0
25民生银行CD162,98.41,1.53,-7.01,1.53,8.0
25交通银行CD098,98.2,1.5005,-0.39,1.5005,8.0
25北京银行CD089,98.79,1.4398,0.98,1.4398,8.0
26深圳前海微众银行CD011,99.88,1.4791,1.96,1.4846,8.0
25北京银行CD139,99.19,1.4277,-2.29,1.4277,8.0
25渤海银行CD338,99.18,1.4193,-1.31,1.4254,8.0
25上海银行CD142,99.22,1.5198,-0.03,1.5198,8.0
25青岛银行CD022,98.01,1.4385,-9.1,1.4385,8.0
25建设银行CD213,98.4,1.52,0.65,1.52,8.0
24特别国债04,101.85,2.38,0.4,2.3688,7.7
23中行二级资本债03A,104.14,2.8174,-0.17,2.8175,7.7
23黑龙江11,108.07,1.79,-1.25,1.7975,7.5
26东吴证券CP002,100.0,1.6299,,1.6299,7.5
26亚投行债01BC(可持续),100.0,1.7,1.0,1.7,7.5
25广发银行二级资本债01BC,100.29,2.2165,1.0,2.2155,7.4
22进出10,107.81,1.795,-0.5,1.792,7.4
23附息国债09,116.24,2.374,1.9,2.3641,7.4
25浦发银行永续债01,99.67,2.105,3.0,2.105,7.4
20国开10,105.63,1.71,0.5,1.7099,7.4
22附息国债17,106.49,1.6225,0.25,1.6221,7.3997
23广州高新MTN002,99.94,1.84,,1.844,7.3
22国开03,101.1,1.48,-0.5,1.4846,7.2
23山东21,105.42,1.535,,1.54,7.2
25农发清发32,100.12,1.595,1.0,1.595,7.2
25超长特别国债01,94.74,2.3225,0.75,2.3175,7.1
23建行二级资本债03A,103.86,2.7342,-0.16,2.7332,7.1
26宁波债10,100.22,2.3225,2.0,2.3196,7.0
25建设银行CD300,98.43,1.5249,-0.52,1.525,7.0
23汇金MTN006A,100.74,1.6,1.0,1.6,7.0
25农业银行CD400,98.45,1.535,1.0,1.5379,7.0
25中国银行CD058,98.42,1.5251,0.34,1.5251,7.0
25工商银行CD123,98.13,1.4309,0.02,1.4309,7.0
25宁波银行CD286,99.6,1.4413,-0.01,1.4413,7.0
22农发02,101.18,1.485,-0.13,1.4858,7.0
25交通银行CD286,98.84,1.5251,1.0,1.525,7.0
26北京银行CD023,98.75,1.7,15.25,1.6129,7.0
26宁波银行CD015,99.61,1.5249,-0.05,1.5248,7.0
24附息国债12,100.13,1.1502,3.02,1.1502,7.0
25工商银行CD107,98.09,1.4326,1.0,1.4322,7.0
25中原银行CD138,98.74,1.433,-2.44,1.433,6.9
26大唐发电MTN003(能源保供特别债),99.98,,,,6.9
24国开清发01,104.18,1.73,0.25,1.7283,6.9
26沧州交通PPN002,100.0,2.48,,2.48,6.9
25工行科创债01BC,99.98,1.66,0.68,1.6529,6.8
25工行二级资本债01BC,100.25,2.0197,0.23,2.0129,6.8
21国开08,100.67,1.4601,-0.99,1.4626,6.8
22内蒙古债33,107.1,1.8202,,1.8201,6.8
26武商SCP002,100.0,1.6199,,1.6311,6.7
25邮储永续债01BC,99.92,,,,6.7
21邮储银行二级01,100.81,3.2726,1.0,3.2743,6.69
24国开清发03,100.33,1.5725,0.25,1.5708,6.6
21中国信达债01,101.16,,,,6.6
23进出05,102.38,1.594,0.25,1.5947,6.6
23中信银行01,100.11,1.5298,0.01,1.514,6.5
25光大银行CD111,98.38,1.5127,0.44,1.5108,6.5
25中行永续债02BC,100.13,,,,6.4
25中信银行二级资本债01BC,99.88,2.0038,-0.47,2.005,6.3
16附息国债10,100.3,0.9198,1.95,0.9198,6.3
23农发10,106.53,1.86,0.25,1.8591,6.2
26广东债21,99.37,2.51,1.0,2.5069,6.2
24河南债02,104.63,1.62,-1.7,1.6229,6.2
26兴业银行CD031,98.46,1.56,-0.25,1.56,6.2
25交通银行CD246,98.45,1.535,0.5,1.535,6.2
20国开05,105.25,1.7,1.0,1.701,6.1
23工行二级资本债02B,105.86,2.6217,1.0,2.6213,6.1
24江西债18,106.23,2.375,1.0,2.375,6.0
25江苏31,99.56,1.745,0.5,1.745,6.0
25建设银行CD143,98.11,1.4293,-0.01,1.4293,6.0
25大横琴MTN002,100.47,,,,6.0
25交通银行CD290,98.47,1.5375,0.25,1.5354,6.0
25建行二级资本债01BC,100.28,2.0353,-0.18,2.0331,6.0
25中信银行CD131,98.3,1.51,-0.5,1.51,6.0
26张家口银行CD012,98.35,1.68,,1.68,6.0
25中信银行CD120,98.31,1.5105,0.08,1.5113,6.0
25浙商银行CD095,98.39,1.54,,1.54,6.0
25建设银行CD140,98.07,1.4311,-0.01,1.4311,6.0
25光大银行CD235,98.44,1.54,0.5,1.54,6.0
25贴现国债82,99.69,1.2393,-2.01,1.2393,6.0
25交通银行CD149,98.79,1.4205,-1.12,1.4234,6.0
25徽商银行CD122,98.41,1.5449,0.49,1.5449,6.0
23江苏债31,104.64,1.6075,,1.6083,6.0
25广发银行CD268,99.2,1.5147,-2.74,1.5147,6.0
25中信银行CD401,99.62,1.4191,-0.12,1.4191,6.0
25建设银行CD296,98.42,1.5225,-0.74,1.5225,6.0
26北京银行CD025,98.46,1.565,0.01,1.565,6.0
25交通银行CD111,98.3,1.5099,1.0,1.5099,6.0
25江苏银行CD046,98.06,1.4284,-0.18,1.4284,6.0
25工商银行CD257,98.42,1.525,-4.59,1.525,6.0
25宁波银行CD206,99.19,1.5252,-3.5,1.525,6.0
25工商银行CD222,98.42,1.5199,-0.51,1.5216,6.0
25杭州联合银行CD089,99.19,1.4465,0.55,1.4465,6.0
25上海银行CD087,98.43,1.5399,0.98,1.5399,6.0
26浦发银行CD064,98.47,1.5575,-0.25,1.5583,6.0
25南京银行CD235,99.22,1.5199,-6.52,1.5199,6.0
25兴业银行CD224,99.2,1.5105,-0.42,1.5112,6.0
25北京银行CD183,99.22,1.5249,-0.03,1.5249,6.0
25中行TLAC非资本债01(BC),99.97,1.7571,-1.05,1.7606,5.9
26皖交控CP001,99.94,1.65,1.0,1.6475,5.9
20湖北债25,105.64,1.55,0.3,1.5472,5.8
26华宝投资MTN002,99.9,1.7475,6.76,1.7464,5.8
22附息国债02,101.04,1.155,0.5,1.155,5.8
22邮储银行二级01,101.86,3.1932,0.26,3.1953,5.76
23附息国债06,105.53,1.3825,0.25,1.3825,5.7
22中国银行二级01,101.39,2.9865,0.11,2.9858,5.6
26乌鲁木齐银行CD029,98.66,1.7999,1.0,1.7999,5.6
26首钢SCP001(科创债),99.99,1.63,-3.0,1.63,5.6
23邮储永续债01,104.0,,,,5.584
21附息国债05,125.31,2.375,1.0,2.3669,5.52
20广东债32,105.21,1.585,-2.0,1.5904,5.5
25北京89,100.01,1.5275,0.25,1.5275,5.5
25农行二级资本债01B(BC),97.45,2.3117,0.45,2.3025,5.5
22上海债16,106.97,1.7375,-0.25,1.7439,5.5
25江苏43,100.61,1.8,0.5,1.8,5.5
25中国银行CD048,98.44,1.5219,-5.07,1.5247,5.5
25农业银行CD103,98.1,1.4297,-0.93,1.4339,5.5
25农行永续债02BC,100.56,,,,5.4
23农发03,102.55,1.59,-0.25,1.5908,5.3
17国开10,102.67,1.5225,0.61,1.5211,5.2
25平安银行科创债01BC,100.25,1.76,-4.41,1.7524,5.2
24农发05,101.67,1.66,1.0,1.6614,5.2
24江苏债13,104.45,2.3725,1.0,2.3725,5.2
26浦发银行CD059,98.46,1.56,1.0,1.5596,5.2
23国开07,100.24,1.465,1.0,1.4641,5.2
25中信银行CD097,98.06,1.4488,1.9,1.4242,5.11
23农发20,106.76,1.8875,-0.25,1.8899,5.1
26象屿股份SCP002,100.0,1.6699,,1.6699,5.1
25兴业银行科创债01,99.98,1.67,-0.5,1.6729,5.1
22附息国债21,104.24,1.3825,0.25,1.3808,5.0181
23进出11,106.68,1.865,-0.5,1.8667,5.0
25中交建MTN002,100.22,1.74,1.0,1.7394,5.0
25农业银行科创债,99.98,1.66,0.65,1.6505,5.0
25中国银行CD056,98.43,1.5249,-0.51,1.5249,5.0
25兴业银行CD086,98.31,1.5094,-2.01,1.5096,5.0
26华夏银行CD049,98.46,1.56,0.5,1.5595,5.0
26光大银行CD017,98.46,1.56,-49.6,1.956,5.0
25中行二级资本债01BC,99.64,1.9731,1.0,1.9702,5.0
25重庆农村商行CD081,98.77,1.5253,0.05,1.5229,5.0
25天津76,100.25,1.58,,1.58,5.0
25河北债76,100.3,1.535,,1.535,5.0
26江苏银行CD048,98.85,1.55,0.01,1.55,5.0
25广发银行CD168,98.42,1.5149,0.5,1.5149,5.0
26盛京银行CD016,99.87,1.5503,,1.5503,5.0
26恒丰银行CD068,98.45,1.5775,0.25,1.5775,5.0
26北京银行CD024,98.46,1.565,-0.5,1.567,5.0
25中信银行CD323,99.2,1.5095,-0.01,1.5105,5.0
25中信银行CD338,98.43,1.535,-2.5,1.5342,5.0
25工商银行CD203,98.39,1.5099,1.0,1.5099,5.0
25兰州银行永续债01,99.07,,,,5.0
25光大银行CD269,98.45,1.54,-0.99,1.5408,5.0
23交行债01,100.36,1.5351,0.64,1.5357,5.0
25中国银行CD046,98.44,1.5201,-0.48,1.5239,5.0
26长沙银行CD034,99.23,1.535,,1.535,5.0
25中国银行CD034,98.79,1.4292,-0.08,1.4292,5.0
25农业银行CD146,98.31,1.5203,1.89,1.526,5.0
26上海银行CD010,99.23,1.5324,,1.5324,5.0
25农业银行CD410,98.69,1.85,1.0,1.85,5.0
25厦门国际银行CD066,98.74,1.433,,1.433,5.0
26成都农商银行CD007,98.45,1.5699,,1.5699,5.0
26民生银行CD055,98.47,1.55,,1.55,5.0
26恒生银行CD003,99.6,1.5501,,1.5501,5.0
22农业银行永续债01,101.75,3.4173,175.73,3.4173,4.94
25附息国债15,100.1,1.375,1.0,1.3746,4.935
21国开15,107.08,1.76,-0.5,1.7636,4.9
25农行二级资本债01A(BC),99.59,1.9783,0.06,1.9759,4.8
